기간,자치구,세대,합계,남자 합계,여자 합계,한국인 합계,한국 남자,한국 여자,외국인 합계,외국인 남자,외국인 여자,세대당인구,65세이상고령자
2020.1/4,은평구,210664,483938,232423,251515,479524,230640,248884,4414,1783,2631,2.28,83272
2020.1/4,서대문구,143323,324224,153921,170303,312720,149920,162800,11504,4001,7503,2.18,53468
2020.1/4,마포구,177544,384957,180659,204298,374390,176664,197726,10567,3995,6572,2.11,53694
2020.1/4,양천구,179677,462034,226748,235286,457953,224908,233045,4081,1840,2241,2.55,63824
2020.1/4,강서구,265252,593203,286668,306535,586936,283697,303239,6267,2971,3296,2.21,87032
2020.1/4,구로구,178367,436707,218051,218656,405075,200098,204977,31632,17953,13679,2.27,68280
2020.1/4,금천구,112570,250554,128078,122476,232250,117762,114488,18304,10316,7988,2.06,38950
2020.1/4,영등포구,179787,405154,202648,202506,373349,184905,188444,31805,17743,14062,2.08,60071
2020.1/4,동작구,183537,406776,196479,210297,395165,191211,203954,11611,5268,6343,2.15,64039
2020.1/4,관악구,273715,516318,258740,257578,499740,250829,248911,16578,7911,8667,1.83,77341
2020.1/4,서초구,173998,433062,207095,225967,428919,205037,223882,4143,2058,2085,2.47,59063
2020.1/4,강남구,233484,546158,261187,284971,541233,258753,282480,4925,2434,2491,2.32,73097
2020.1/4,송파구,280135,678067,327383,350684,671512,324317,347195,6555,3066,3489,2.4,90700
2020.1/4,강동구,193095,461547,227242,234305,457164,225206,231958,4383,2036,2347,2.37,67742
